order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,region,product_id,category,subcategory,product_name,sales,quantity,discount,profit,review
CA-2011-167199,,1/10/2013,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0,0.3112,
CA-2011-167199,1/6/2013,1/10/2013,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,4,0,3.0084,Highly recommended.
CA-2011-105417,1/7/2013,1/12/2013,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Huntsville,Texas,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,1,0.6,-53.7096,Decent for the price.
CA-2011-105417,,1/12/2013,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Huntsville,Texas,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,,0.8,-18.2525,
CA-2011-135405,,1/13/2013,Standard Class,MS-17830,Melanie Seite,Consumer,Laredo,Texas,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,,0.2,1.168,Great performance!
CA-2011-135405,,1/13/2013,Standard Class,MS-17830,Melanie Seite,Consumer,Laredo,Texas,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,2,0.2,9.75,Highly recommended.
CA-2011-149020,,1/15/2013,Standard Class,AJ-10780,Anthony Jacobs,Corporate,Springfield,Virginia,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,3,0,1.3583,Decent for the price.
CA-2011-149020,,1/15/2013,Standard Class,AJ-10780,Anthony Jacobs,Corporate,Springfield,Virginia,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0,21.2954,Great performance!
CA-2011-130092,,1/14/2013,First Class,SV-20365,Seth Vernon,Consumer,Dover,Delaware,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,1,0,3.0814,
CA-2011-162775,,1/15/2013,Second Class,CS-12250,Chris Selesnick,Corporate,Bossier City,Louisiana,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0,5.3392,Decent for the price.
CA-2011-162775,1/13/2013,1/15/2013,Second Class,CS-12250,Chris Selesnick,Corporate,Bossier City,Louisiana,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,2,0,25.47,Highly recommended.
CA-2011-162775,1/13/2013,1/15/2013,Second Class,CS-12250,Chris Selesnick,Corporate,Bossier City,Louisiana,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,3,0,258.696,Highly recommended.
CA-2011-162775,1/13/2013,1/15/2013,Second Class,CS-12250,Chris Selesnick,Corporate,Bossier City,Louisiana,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,6,0,2.7072,Decent for the price.
CA-2011-162775,,1/15/2013,Second Class,CS-12250,Chris Selesnick,Corporate,Bossier City,Louisiana,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,3,0,34.3548,
CA-2011-109232,,1/16/2013,Second Class,ND-18370,Natalie DeCherney,Consumer,Mount Pleasant,South Carolina,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0,87.3504,Decent for the price.
CA-2011-157147,,1/18/2013,Standard Class,BD-11605,Brian Dahlen,Consumer,San Francisco,California,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,6,0,238.653,
CA-2011-157147,,1/18/2013,Standard Class,BD-11605,Brian Dahlen,Consumer,San Francisco,California,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,5,0.15,3.9294,Decent for the price.
CA-2011-157147,,1/18/2013,Standard Class,BD-11605,Brian Dahlen,Consumer,San Francisco,California,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,3,0,6.567,Great performance!
CA-2011-118192,,1/18/2013,Standard Class,MM-17920,Michael Moore,Consumer,Newark,Ohio,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.408,5,0.2,13.0928,Great performance!
CA-2011-118192,,1/18/2013,Standard Class,MM-17920,Michael Moore,Consumer,Newark,Ohio,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,7,0.7,-2.5212,Great performance!
CA-2011-149524,,1/15/2013,First Class,BS-11590,Brendan Sweed,Corporate,Philadelphia,Pennsylvania,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,2,0.5,-53.2856,Great performance!
CA-2011-103366,,1/17/2013,First Class,EH-13990,Erica Hackney,Consumer,Roswell,Georgia,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,4,0,65.978,Decent for the price.
CA-2011-115791,,1/18/2013,Second Class,DL-13315,Delfina Latchford,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,5,0.2,28.5984,
CA-2011-115791,,1/18/2013,Second Class,DL-13315,Delfina Latchford,Consumer,Philadelphia,Pennsylvania,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,6,0.4,-31.05,Highly recommended.
CA-2011-115791,,1/18/2013,Second Class,DL-13315,Delfina Latchford,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.588,3,0.7,-13.6312,Highly recommended.
CA-2011-115791,,1/18/2013,Second Class,DL-13315,Delfina Latchford,Consumer,Philadelphia,Pennsylvania,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,2,0.2,10.1493,Highly recommended.
CA-2011-123477,,1/21/2013,Second Class,DW-13195,David Wiener,Corporate,Springfield,Oregon,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,3,0.2,6.4864,Highly recommended.
CA-2011-146591,,1/20/2013,First Class,TS-21340,Toby Swindell,Consumer,Scottsdale,Arizona,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,4,0.7,-23.716,Decent for the price.
CA-2011-146591,,1/20/2013,First Class,TS-21340,Toby Swindell,Consumer,Scottsdale,Arizona,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,,0.2,19.6224,Decent for the price.
CA-2011-146591,,1/20/2013,First Class,TS-21340,Toby Swindell,Consumer,Scottsdale,Arizona,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,4,0.2,36.693,Decent for the price.
CA-2011-146591,,1/20/2013,First Class,TS-21340,Toby Swindell,Consumer,Scottsdale,Arizona,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,,0.7,-320.597,Highly recommended.
US-2011-147627,,1/26/2013,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,5,0,181.9818,Great performance!
US-2011-147627,,1/26/2013,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7,0,6.6584,Great performance!
US-2011-147627,,1/26/2013,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,,0,11.58,Great performance!
US-2011-147627,,1/26/2013,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,4,0,1.7901,Highly recommended.
US-2011-147627,,1/26/2013,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,3,0,10.9698,Highly recommended.
US-2011-147627,,1/26/2013,Standard Class,HL-15040,Hunter Lopez,Consumer,Jonesboro,Arkansas,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0,224.2674,Decent for the price.
CA-2011-148614,,1/25/2013,Standard Class,MV-17485,Mark Van Huff,Consumer,Los Angeles,California,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,3,0,9.2928,
CA-2011-148614,,1/25/2013,Standard Class,MV-17485,Mark Van Huff,Consumer,Los Angeles,California,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0,5.79,Decent for the price.
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,2,0,4.0542,Highly recommended.
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,1,0,30.0234,Great performance!
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,3,0,8.9535,
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.716,5,0.1,93.5816,
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,4,0,15.9792,
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,2,0,12.7368,Great performance!
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0,4.8609,Highly recommended.
CA-2011-167927,,1/26/2013,Standard Class,XP-21865,Xylona Preis,Consumer,Westland,Michigan,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,3,0,13.365,
US-2011-147774,,1/26/2013,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,Smyrna,Tennessee,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194,5,0.7,-51.5154,Highly recommended.
CA-2011-110422,,1/23/2013,Second Class,TB-21400,Tom Boeckenhauer,Consumer,Miami,Florida,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.248,1,0.2,4.1028,Highly recommended.
CA-2011-102645,,1/28/2013,Standard Class,IM-15055,Ionia McGrath,Consumer,Las Vegas,Nevada,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,3,0,19.2384,Great performance!
CA-2011-146997,,1/27/2013,Standard Class,SG-20605,Speros Goranitis,Consumer,Lafayette,Indiana,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,,0,0,Highly recommended.
US-2011-155502,,1/31/2013,Standard Class,SD-20485,Shirley Daniels,Home Office,Alexandria,Virginia,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0,30.7818,
US-2011-155502,,1/31/2013,Standard Class,SD-20485,Shirley Daniels,Home Office,Alexandria,Virginia,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,3,0,0,Great performance!
US-2011-155502,,1/31/2013,Standard Class,SD-20485,Shirley Daniels,Home Office,Alexandria,Virginia,South,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,,0,9.3312,Great performance!
US-2011-155502,,1/31/2013,Standard Class,SD-20485,Shirley Daniels,Home Office,Alexandria,Virginia,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,3,0,8.34,Decent for the price.
US-2011-155502,,1/31/2013,Standard Class,SD-20485,Shirley Daniels,Home Office,Alexandria,Virginia,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,2,0,0,Great performance!
US-2011-155502,,1/31/2013,Standard Class,SD-20485,Shirley Daniels,Home Office,Alexandria,Virginia,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,,0,4.4712,Highly recommended.
US-2011-155502,,1/31/2013,Standard Class,SD-20485,Shirley Daniels,Home Office,Alexandria,Virginia,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,187.98,3,0,52.6344,Decent for the price.
CA-2011-167997,,1/29/2013,First Class,CA-11965,Carol Adams,Corporate,Rapid City,South Dakota,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0,5.0196,
CA-2011-167997,,1/29/2013,First Class,CA-11965,Carol Adams,Corporate,Rapid City,South Dakota,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0,39.7488,
US-2011-117163,,2/2/2013,Standard Class,EJ-13720,Ed Jacobs,Consumer,San Diego,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,2,0,14.3075,Decent for the price.
US-2011-117163,,2/2/2013,Standard Class,EJ-13720,Ed Jacobs,Consumer,San Diego,California,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333,1,0.2,-16.65,
US-2011-117163,,2/2/2013,Standard Class,EJ-13720,Ed Jacobs,Consumer,San Diego,California,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,3,0,12.0252,Great performance!
CA-2011-100328,,2/3/2013,Standard Class,JC-15340,Jasper Cacioppo,Consumer,New York City,New York,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.928,4,0.2,1.3257,Great performance!
CA-2011-134103,,2/4/2013,Standard Class,MV-18190,Mike Vittorini,Consumer,Detroit,Michigan,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,1,0,4.752,Great performance!
CA-2011-134103,,2/4/2013,Standard Class,MV-18190,Mike Vittorini,Consumer,Detroit,Michigan,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0,6.8982,Great performance!
CA-2011-115161,,2/2/2013,First Class,LC-17050,Liz Carlisle,Consumer,Mission Viejo,California,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,0.15,3.4196,Great performance!
CA-2011-140795,2/1/2013,2/3/2013,First Class,BD-11500,Bradley Drucker,Consumer,Green Bay,Wisconsin,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,,0,206.316,Highly recommended.
CA-2011-139857,2/2/2013,2/6/2013,Standard Class,CD-12790,Cynthia Delaney,Home Office,San Diego,California,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,,0,5.8045,Great performance!
CA-2011-123400,2/2/2013,2/9/2013,Standard Class,EB-13930,Eric Barreto,Consumer,Saint Petersburg,Florida,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.336,,0.7,-12.224,
CA-2011-123400,2/2/2013,2/9/2013,Standard Class,EB-13930,Eric Barreto,Consumer,Saint Petersburg,Florida,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,,0.2,13.572,Highly recommended.
CA-2011-111059,2/3/2013,2/6/2013,Second Class,TB-21400,Tom Boeckenhauer,Consumer,Seattle,Washington,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,,0.2,27.248,Decent for the price.
CA-2011-111059,2/3/2013,2/6/2013,Second Class,TB-21400,Tom Boeckenhauer,Consumer,Seattle,Washington,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13.272,,0.2,4.3134,
CA-2011-107181,2/4/2013,2/8/2013,Standard Class,DB-13270,Deborah Brumfield,Home Office,San Diego,California,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,,0.2,29.0136,Decent for the price.
CA-2011-107181,2/4/2013,2/8/2013,Standard Class,DB-13270,Deborah Brumfield,Home Office,San Diego,California,West,OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,,0,16.0928,Decent for the price.
CA-2011-104808,2/4/2013,2/8/2013,Second Class,MH-17440,Mark Haberlin,Corporate,Escondido,California,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.248,,0.2,6.0368,Great performance!
CA-2011-131905,,2/9/2013,First Class,ND-18460,Neil Ducich,Corporate,Chesapeake,Virginia,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15,2,0,7.2,Highly recommended.
CA-2011-131905,,2/9/2013,First Class,ND-18460,Neil Ducich,Corporate,Chesapeake,Virginia,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,161.61,,0,42.0186,Decent for the price.
CA-2011-131905,,2/9/2013,First Class,ND-18460,Neil Ducich,Corporate,Chesapeake,Virginia,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,144.95,,0,42.0355,Decent for the price.
CA-2011-108182,,2/10/2013,Second Class,DL-13315,Delfina Latchford,Consumer,Romeoville,Illinois,Central,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.952,,0.8,-14.7708,Great performance!
CA-2011-107755,2/7/2013,2/12/2013,Standard Class,CK-12760,Cyma Kinney,Corporate,Linden,New Jersey,East,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs,115.36,2,0,49.6048,
US-2011-169390,,2/10/2013,Second Class,CS-12250,Chris Selesnick,Corporate,New York City,New York,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,,0,9.744,Great performance!
CA-2011-125759,2/8/2013,2/9/2013,First Class,NM-18445,Nathan Mautz,Home Office,North Las Vegas,Nevada,West,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,,0,5.5328,Decent for the price.
CA-2011-127614,,2/15/2013,Standard Class,NF-18385,Natalie Fritzler,Consumer,Chesapeake,Virginia,South,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,,0,103.158,Decent for the price.
CA-2011-127614,2/11/2013,2/15/2013,Standard Class,NF-18385,Natalie Fritzler,Consumer,Chesapeake,Virginia,South,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,3,0,75.3732,Great performance!
CA-2011-127614,,2/15/2013,Standard Class,NF-18385,Natalie Fritzler,Consumer,Chesapeake,Virginia,South,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,,0,8.2062,Decent for the price.
CA-2011-168368,,2/15/2013,Second Class,GA-14725,Guy Armstrong,Consumer,Columbia,Missouri,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,2,0,15.2225,
CA-2011-168368,,2/15/2013,Second Class,GA-14725,Guy Armstrong,Consumer,Columbia,Missouri,Central,OFF-LA-10004853,Office Supplies,Labels,Avery 483,14.94,,0,6.8724,
CA-2011-168368,,2/15/2013,Second Class,GA-14725,Guy Armstrong,Consumer,Columbia,Missouri,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,,0,4.4344,
CA-2011-168368,,2/15/2013,Second Class,GA-14725,Guy Armstrong,Consumer,Columbia,Missouri,Central,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,,0,53.2704,Great performance!
CA-2011-168368,2/11/2013,2/15/2013,Second Class,GA-14725,Guy Armstrong,Consumer,Columbia,Missouri,Central,OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,3,0,24.393,Decent for the price.
CA-2011-168368,,2/15/2013,Second Class,GA-14725,Guy Armstrong,Consumer,Columbia,Missouri,Central,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,,0,2.5984,Highly recommended.
US-2011-110674,2/12/2013,2/18/2013,Standard Class,SC-20095,Sanjit Chand,Consumer,Concord,California,West,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.568,2,0.2,-24.294,Highly recommended.
CA-2011-107706,2/14/2013,2/19/2013,Second Class,ST-20530,Shui Tom,Consumer,Houston,Texas,Central,OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.176,2,0.2,6.066,Decent for the price.
CA-2011-121762,,2/18/2013,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Seattle,Washington,West,TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,0,86.3892,Decent for the price.
CA-2011-121762,2/14/2013,2/18/2013,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Seattle,Washington,West,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,,0,22.9488,Decent for the price.
CA-2011-121762,,2/18/2013,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Seattle,Washington,West,OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2,0,4.7724,Highly recommended.
CA-2011-165568,,2/19/2013,Standard Class,BF-11020,Barry Französisch,Corporate,Seattle,Washington,West,OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,2,0.2,7.209,Highly recommended.
CA-2011-122567,,2/21/2013,Standard Class,MN-17935,Michael Nguyen,Consumer,Dallas,Texas,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,5,0.8,-1.728,Great performance!
CA-2011-122567,2/16/2013,2/21/2013,Standard Class,MN-17935,Michael Nguyen,Consumer,Dallas,Texas,Central,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,,0.8,-13.93,Highly recommended.
CA-2011-154165,,2/24/2013,Standard Class,DL-13315,Delfina Latchford,Consumer,Chicago,Illinois,Central,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,54.208,2,0.2,8.8088,
US-2011-165589,,2/18/2013,Same Day,TB-21595,Troy Blackwell,Consumer,Lubbock,Texas,Central,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,,0.6,-11.322,Highly recommended.
CA-2011-152905,2/18/2013,2/24/2013,Standard Class,AB-10015,Aaron Bergman,Consumer,Arlington,Texas,Central,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,,0.2,-2.5248,Decent for the price.
CA-2011-109491,,2/26/2013,Standard Class,LC-16930,Linda Cazamias,Corporate,Richmond,Indiana,Central,TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,2,0,22.4316,
